origin,email,phone,url,street,town,postcode,country
BIKE_SHARING_BOLZANO,urp@comune.bolzano.it,0471997111,https://opencity.comune.bolzano.it/Servizi/Bike-Sharing-Bici-Bolzano,Vicolo Gumer 7,Bolzano,39100,Italy
BIKE_SHARING_MERANO,info@comune.merano.bz.it,0473250111,https://www.comune.merano.bz.it/it/Bikesharing,Via Portici 192,Merano,39012,Italy
BIKE_SHARING_PAPIN,info@papinsport.com,0474913450,https://www.papinsport.com/rent-a-bike/,Via Freising 9,San Candido,39038,Italy
HAL-API,info@carsharing.bz.it,0471061319,https://www.carsharing.bz.it/it/,Via Beda Weber 1,Bolzano,39100,Italy
FAMAS,urp@comune.bolzano.it,0471997111,https://opencity.comune.bolzano.it/Documenti-e-dati/Documenti-tecnici-di-supporto/Parcheggiare-in-citta,Vicolo Gumer 7,Bolzano,39100,Italy
Municipality Merano,info@comune.merano.bz.it,0473250111,https://www.comune.merano.bz.it/it/Parcheggi,Via Portici 192,Merano,39012,Italy
FBK-Trento,comurp@comune.trento.it,0461884111,https://www.comune.trento.it/Citta/Come-orientarsi/Parcheggi,Via Belenzani 19,Trento,38122,Italy
FBK-Rovereto,urp@comune.rovereto.tn.it,0464452111,https://www.comune.rovereto.tn.it/Servizi/Sosta-e-parcheggi,Piazza Podestà 11,Rovereto,38068,Italy
A22,a22@autobrennero.it,0461212611,https://www.autobrennero.it/it/in-viaggio/sosta-e-servizi/aree-di-servizio/,Via Berlino 10,Trento,38121,Italy
skidata,info@sta.bz.it,0471312888,https://www.sta.bz.it,Via dei Conciapelli 60,Bolzano,39100,Italy
bicincitta,info@sta.bz.it,0471312888,https://www.sta.bz.it,Via dei Conciapelli 60,Bolzano,39100,Italy
